,cid,molecular_weight,atom_stereo_count,bond_stereo_count,cactvs_fingerprint,charge,complexity,conformer_id_3d,conformer_rmsd_3d,covalent_unit_count,defined_atom_stereo_count,defined_bond_stereo_count,exact_mass,feature_selfoverlap_3d,fingerprint,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,isotope_atom_count,monoisotopic_mass,rotatable_bond_count,tpsa,undefined_atom_stereo_count,undefined_bond_stereo_count,xlogp
17,440707,346.5,6,0,11100000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000000000000000000000001100000110000010000000000000000000000000000000000000000000000001100000110000000000000000000000000000000001101000000000000000000000100000000000000000000000111101000100101000001000000000000010000000100000000000000000000000000000001000000000100010000000001010100000010100100000000000000010000000000000000000000000001000000000000000000000000000000000100000000001010000000000000001001000000000000001000000010010000000000000000100000000000000000100000000000000000001011000000000000000000010000000000100000011100010001100100011110000100011111000000000000000000000000000000000000000000000000000000000000000100000000000000000000100000000000000000000100000000000000000000110000000000000000000110000000000000000000,0,652.0,,,1,6,0,346.21440943,,00000371E0783800000000000000000000000000000180000000306080000000000060C00000001A00000800000F44A080020200000002008802A052000200000020000000080140004800101200010000400005800008010388C8F08F8000000000000000800004000020000180000C000000,4,2,25,0,346.21440943,2,74.6,0,0,2.5
18,5951,105.09,1,0,10000000010000100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000111000011000000000000110000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100001000000000100000000000000000000000000000000000100000000000000000000010011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,72.6,,,1,1,0,105.042593085,,0000037180423000000000000000000000000000000000000000000000000000000000000000001E00100800000828E180060008004002000800009008000000000000000000818000000210040000000040000130000000000000000000000000000000000000000000000000000000000000,4,3,7,0,105.042593085,2,83.6,0,0,-3.1
19,94190,790.1,1,0,11110000011111100011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000000000100000000000000000100000010100111000011000000000000110000000100000100000000011000000000000010100010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000110000000000010010000000000000000000000000000000100000000000000000000001010000000000000000000100100000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,888.0,,,1,1,0,789.62475576,,00000371F07E3C02000000000000000000000000000000000000000000000000000000000000001E00000020000814E1800602080300051008400090088000000000000000000108000003001200000002000005000012000188C8A08000000000000000000000000000000000000000000000,8,0,54,0,789.62475576,44,111.0,0,0,15.6
20,53480417,1473.9,3,10,11110000011111000011111000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011100010000100010000100000000100000110100100000100010000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100000000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,2410.0,,,1,2,10,1472.97222705,,00000371F07C3E03000000000000000000000000000000000000000000000000000000000000001A00000820000814A08002020800000710884020D208800000002000000808010000080110120001000200000580000B000388C8A08000000000000000000000000000000000000000000000,17,3,102,0,1472.97222705,78,237.0,1,0,23.9
21,16019980,378.5,1,4,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,449.0,,,1,1,4,378.27700969,,00000371F0783800000000000000000000000000000000000000000000000000000000000000001A00000800000814A08002020800000600880020D208000000002000000808010000080110120001000240000580000B00038800000000000000000000000000000000000000000000000000,4,2,27,0,378.27700969,18,66.8,0,0,5.5
22,5319879,356.5,0,1,11110000011110000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,311.0,,,1,0,1,356.29265975,,00000371F0783800000000000000000000000000000000000000000000000000000000000000001A00000800000814A08002020800000600880020D208000000002000000808010000080110120001000240000580000B000388C8A08000000000000000000000000000000000000000000000,4,2,25,0,356.29265975,19,66.8,0,0,6.3
23,497299,523.7,1,0,11110000011110100011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000000000000100000100000000000000000100000010100111000011000000000000110000000100000100000000011000000000000011100010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000000000001000010000000000000000000000000110001000000010010000000000000000000000000000000100000000000000000000001010000000000000000000100110000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,546.0,,,1,1,0,523.36379006,,00000371F07A3802000000000000000000000000000000000000000000000000000000000000001E00000820000814E1800602080300071008400090088000000000000000000108000003101200000002000005000013000188C8A08000000000000000000000000000000000000000000000,7,1,35,0,523.36379006,26,105.0,0,0,6.6
24,449008,751.0,2,0,11110000011111000011110000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011100010000000010000100000000000000100100000000100010000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000010001000000010010000000000000000000000000000000100100000000000000000001010000000000000000000000110000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,827.0,,,1,2,0,750.54108571,,00000371F07C3C02000000000000000000000000000000000000000000000000000000000000001A00000820000814A0800202080000071008400090088000000000000000000100000001101200000002400005000003000188C8A08000000000000000000000000000000000000000000000,10,3,51,0,750.54108571,42,149.0,0,0,13.3
25,6140,165.19,1,0,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000101000110000011001100000000100001100000000100010000000010000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000000000000000000000010001000100010000001100000000000000010001000000010100010000000110010100000001001000100010001100000000110000000000000001001001001000000000000000010001000100000000111100110001100100010100000100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,153.0,,,1,1,0,165.078978594,,00000371C0723000000000000000000000000000000000000000300000000000000000010000001E00100800000C28C19804300880400200880220D208000200002000000888818000880A203280911180600024900008880798C8A08E00000000000000000000000000000000000000000000,3,2,12,0,165.078978594,3,63.3,0,0,-1.5
26,56947016,436.5,1,1,11110000011110000011100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000100000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011100010000100010000100000000100000110100100000100010000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,462.0,,,1,0,1,436.25899064,,00000371F0783802000000000000000000000000000000000000000000000000000000000000001A00000820000814A08002020800000710884020D208800000002000000808010000080110120001000240000580000B000388C8A08000000000000000000000000000000000000000000000,7,3,29,0,436.25899064,21,113.0,1,0,5.2
27,9543705,625.0,1,0,11110000011111000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000010001000000010010000000000000000000000000000000100100000000000000000001010000000000000000000000110000000000000001100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,593.0,,,1,1,0,624.56927552,,00000371F07C3800000000000000000000000000000000000000000000000000000000000000001A00000800000814A0800202080000060008000090080000000000000000000100000001101200000002400005000003000188C8A08000000000000000000000000000000000000000000000,5,1,44,0,624.56927552,38,72.8,0,0,16.2
28,6441562,621.0,1,2,11110000011111000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,671.0,,,1,1,2,620.53797539,,00000371F07C3800000000000000000000000000000000000000000000000000000000000000001A00000800000814A08002020800000600880020D208000000002000000808010000080110120001000240000580000B000388C8A08000000000000000000000000000000000000000000000,5,1,44,0,620.53797539,36,72.8,0,0,14.6
29,6438587,645.0,1,4,11110000011111000011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000011000000000100010000000000000100000110100100000100000000000000000000000000000000000001000000000000000000000000010000000100000000001000000000000000000001000000000010001000000010010000000000000000100000000000000100100000000000000000001011000000000000000000010110000000000000011100010001100100010100000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,782.0,,,1,1,4,644.53797539,,00000371F07C3800000000000000000000000000000000000000000000000000000000000000001A00000800000814A08002020800000600880020D208000000002000000808010000080110120001000240000580000B000388C8A08000000000000000000000000000000000000000000000,5,1,46,0,644.53797539,36,72.8,0,0,14.3
30,107689,90.08,1,0,10000000010000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001101000000000000000000000100000000000000000000000100000010100101000001000000000000010000000100000100000000000000000000000001000000000000010000000000000000000100100000000100000000010000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000010001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,59.1,,,1,1,0,90.031694049,,0000037180403000000000000000000000000000000000000000000000000000000000000000001A00000800000814A080020208000002000800009008020000000000000000014000000110000000000040000000000100000000000000000000000000000000000000000000000000000000,3,2,6,0,90.031694049,1,57.5,0,0,-0.7
31,6057,181.19,1,0,11000000011100100011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000001111000000000000100000000100000000000000000000000110000101100110000011001100000000100001100000000111010000000010000000000001000000000100010000000001000100000110100100000100000000000000000100000000000000000001000000010000000000000000010001000100010000001100001100000100010001000000010100010011000110010100000101001000100010011100000000111000000000000001001001101000000010001000010001001100000000111100110001100100010100000100011100010000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,176.0,,,1,1,0,181.07389321,,00000371C0723000000000000000000000000000000000000000300000000000000000010000001E00100800000C2CC19804300E80400200880220D208000200002020000888818608880A263282911380700024D01108980798C8A08E20000000000000004000000000000000000000000000,4,3,13,0,181.07389321,3,83.6,0,0,-2.3
32,190,135.13,0,0,10000000011000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101100000000000000000000000000000001011000000000000000000000000000000000000000000000000000000000001011000000000011111100000000000000000000001110000000000000100000000000000000000000000000000100000001000000000010001011100000100000001011111000010111110110010011001000000000000101000000000000100000110011000010110010000000000100000001000000000101101100100010001000010100000000000010101000110100000001010000101010000010000100000000100100000000000010000000100100001000000000101000000010000001000000010000000000000000010010000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,127.0,,,1,0,0,135.05449518,,00000371806380000000000000000000000000000001600000002C000000000000005801F800001C0010000000080801170405F0BEC99000A0010661640080802D9110A00151A02854108048004048401404080800024000200000000000000000000000000000000000000000000000000000,4,2,10,0,135.05449518,0,80.5,0,0,-0.1
33,5962,146.19,1,0,11000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000100000000000000000000000100000101000110000011000000000000100000000000000100000000000010000000000001000000000000010000000000000000000100100000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001100000000000000000000000000000100000000000010010000000001000000000000000000000000100000000000000000001000001000000000000000000000000000000000001100110000100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,106.0,,,1,1,0,146.105527694,,00000371C0633000000000000000000000000000000000000000000000000000000000000000001E00100800000828C180040008004002000800009008000000000000000000818000000200120080000040000410000000019848000000000000000000000000000000000000000000000000,4,3,10,0,146.105527694,5,89.3,0,0,-3.0
34,1174,112.09,0,0,10000000011000110011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000100000000000000000000000000000000100000000000110000011000000000000100000000010000000000000010110000000000000000000000100010000000000000100001010101100101000000000000100000000000000000000000000000000000001000000000000010000000000010000000000010000000000001000000100000000000000000000000000000000000000000000000000000000000000000000000000010000001011100100010000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,161.0,,,1,0,0,112.027277375,,0000037180633000000000000000000000000000000000000000200000000000000000000000001E00100000000800C18004010002C000008800215650008000000002000800800800408000000000000000000817220000C00000000000000000000000000000000000000000000000000000,2,2,8,0,112.027277375,0,58.2,0,0,-1.1
